image,Anthocyanin (mg/100g),TPC (mg GAE/g),TFC (mg QE/g),DPPH % Inhibition
Stage1 (1).jpg,136.00,7.29,0.32,18.25
Stage1 (2).jpg,136.20,7.49,0.42,18.45
Stage1 (3).jpg,136.40,7.69,0.52,18.65
Stage1 (4).jpg,136.60,7.89,0.62,18.85
Stage1 (5).jpg,136.80,8.09,0.72,19.05
Stage1 (6).jpg,137.00,8.29,0.82,19.25
Stage1 (7).jpg,137.20,8.49,0.92,19.45
Stage1 (8).jpg,137.40,8.69,1.02,19.65
Stage1 (9).jpg,137.60,8.89,1.12,19.85
Stage1 (10).jpg,137.80,9.09,1.22,20.05
Stage1 (11).jpg,138.00,9.29,1.32,20.25
Stage1 (12).jpg,138.20,9.49,1.42,20.45
Stage1 (13).jpg,138.40,9.69,1.52,20.65
Stage1 (14).jpg,138.60,9.89,1.62,20.85
Stage1 (15).jpg,138.80,10.09,1.72,21.05
Stage1 (16).jpg,139.00,10.29,1.82,21.25
Stage1 (17).jpg,139.20,10.49,1.92,21.45
Stage1 (18).jpg,139.40,10.69,2.02,21.65
Stage1 (19).jpg,139.60,10.89,2.12,21.85
Stage1 (20).jpg,139.80,11.09,2.22,22.05
Stage1 (21).jpg,140.00,11.29,2.32,22.25
Stage1 (22).jpg,140.20,11.49,2.42,22.45
Stage1 (23).jpg,140.40,11.69,2.52,22.65
Stage1 (24).jpg,140.60,11.89,2.62,22.85
Stage1 (25).jpg,136.00,7.29,0.32,18.25
Stage1 (26).jpg,136.20,7.49,0.42,18.45
Stage1 (27).jpg,136.40,7.69,0.52,18.65
Stage1 (28).jpg,136.00,7.29,0.32,18.25
Stage1 (29).jpg,136.20,7.49,0.42,18.45
Stage1 (30).jpg,136.40,7.69,0.52,18.65
Stage1 (31).jpg,136.60,7.89,0.62,18.85
Stage1 (32).jpg,136.80,8.09,0.72,19.05
Stage1 (33).jpg,137.00,8.29,0.82,19.25
Stage1 (34).jpg,137.20,8.49,0.92,19.45
Stage1 (35).jpg,137.40,8.69,1.02,19.65
Stage1 (36).jpg,137.60,8.89,1.12,19.85
Stage1 (37).jpg,137.80,9.09,1.22,20.05
Stage1 (38).jpg,138.00,9.29,1.32,20.25
Stage1 (39).jpg,136.00,7.29,0.32,18.25
Stage1 (40).jpg,136.20,7.49,0.42,18.45
Stage1 (41).jpg,136.40,7.69,0.52,18.65
Stage1 (42).jpg,136.60,7.89,0.62,18.85
Stage1 (43).jpg,136.80,8.09,0.72,19.05
Stage1 (44).jpg,137.00,8.29,0.82,19.25
Stage1 (45).jpg,137.20,8.49,0.92,19.45
Stage1 (46).jpg,137.40,8.69,1.02,19.65
Stage1 (47).jpg,137.60,8.89,1.12,19.85
Stage1 (48).jpg,137.80,9.09,1.22,20.05
Stage1 (49).jpg,138.00,9.29,1.32,20.25
Stage1 (50).jpg,138.20,9.49,1.42,20.45
Stage1 (51).jpg,138.40,9.69,1.52,20.65
Stage1 (52).jpg,140.20,11.49,2.42,22.45
